city,n,y1,y2
LondonEnglandUnitedKingdom,26236,0.95,18.8
LosAngelesCaliforniaUnitedStates,26099,1.16,18.7
NewZealand,25408,1.23,30.4
RomeLazioItaly,25155,0.26,18.3
HawaiiHawaiiUnitedStates,23696,0.52,17.7
ParisÎle-de-FranceFrance,22078,0.34,19.7
Ireland,19389,1.11,21.4
LisbonLisbonPortugal,19216,0.25,20.2
NewYorkCityNewYorkUnitedStates,16852,0.88,17.1
SanDiegoCaliforniaUnitedStates,14578,0.85,18.2
NashvilleTennesseeUnitedStates,13738,0.6,13.4
BudapestKözép-MagyarországHungary,11826,0.47,18.9
FlorenceToscanaItaly,11745,0.2,18.3
MelbourneVictoriaAustralia,10974,1.13,23.6
BarcelonaCataloniaSpain,10661,0.15,18.2
VeniceVenetoItaly,10256,0.25,18.5
EdinburghScotlandUnitedKingdom,9693,0.62,17.7
SicilySiciliaItaly,9445,0.29,20.1
NewOrleansLouisianaUnitedStates,9444,0.73,15.8
SouthAegeanGreece,9434,0.18,19.5
SeattleWashingtonUnitesStates,9270,0.99,20.2
PortoNortePortugal,8997,0.17,20.4
TorontoOntarioCanada,8981,0.84,16.6
AustinTexasUnitedStates,8754,0.9,18.3
PraguePragueCzechRepublic,8700,0.26,19.0
PortlandOregonUnitedStates,8483,1.33,20.1
ClarkCountyNVNevadaUnitedStates,8452,0.82,16.8
BrowardCountyFloridaUnitedStates,8427,1.0,15.3
AthensAtticaGreece,8416,0.45,21.4
MadridComunidaddeMadridSpain,8370,0.44,20.0
