city,n,cate
TasmaniaAustralia,1923,0.05944
NewZealand,7378,0.05692
BarwonSouthWestVicVictoriaAustralia,1509,0.05128
MelbourneVictoriaAustralia,3114,0.05005
WesternAustraliaAustralia,2103,0.04976
BerlinBerlinGermany,1683,0.04862
MexicoCityDistritoFederalMexico,2069,0.0481
TokyoKantōJapan,1936,0.04439
ViennaAustria,1591,0.04359
SicilySiciliaItaly,2692,0.04177
PortlandOregonUnitedStates,2344,0.04039
RioDeJaneiroBrazil,1601,0.04008
SydneyNewSouthWalesAustralia,2192,0.03914
CapeTownWesternCapeSouthAfrica,2306,0.03819
CreteCreteGreece,1561,0.03758
LondonEnglandUnitedKingdom,7330,0.03439
MilanLombardyItaly,2258,0.03425
SevillaAndalucíaSpain,1555,0.03372
ParisÎle-de-FranceFrance,6248,0.03357
LosAngelesCaliforniaUnitedStates,7376,0.03138
AustinTexasUnitedStates,2530,0.03115
LisbonLisbonPortugal,5388,0.03004
MadridComunidaddeMadridSpain,2351,0.02999
SanFranciscoCaliforniaUnitedStates,2019,0.02957
ClarkCountyNVNevadaUnitedStates,2355,0.02914
Ireland,5541,0.02896
SouthAegeanGreece,2636,0.02867
DenverColoradoUnitedStates,1591,0.02862
AmsterdamNorthHollandTheNetherlands,2115,0.02787
BangkokCentralThailandThailand,1630,0.02746
SeattleWashingtonUnitesStates,2692,0.02737
NashvilleTennesseeUnitedStates,3898,0.02707
SanDiegoCaliforniaUnitedStates,4216,0.02698
NewOrleansLouisianaUnitedStates,2693,0.02678
PortoNortePortugal,2559,0.02621
AthensAtticaGreece,2355,0.02619
BarcelonaCataloniaSpain,3045,0.02553
BrowardCountyFloridaUnitedStates,2268,0.025
VeniceVenetoItaly,2817,0.0248
RomeLazioItaly,7084,0.02409
AshevilleNorthCarolinaUnitedStates,2037,0.02333
HawaiiHawaiiUnitedStates,6783,0.02301
BudapestKözép-MagyarországHungary,3283,0.02294
PraguePragueCzechRepublic,2503,0.02258
FlorenceToscanaItaly,3326,0.02002
TorontoOntarioCanada,2522,0.01998
WashingtonD.C.DistrictOfColumbiaUnitedStates,2082,0.0192
NewYorkCityNewYorkUnitedStates,4777,0.0181
ChicagoIllinoisUnitedStates,2074,0.01753
EdinburghScotlandUnitedKingdom,2787,0.01394
