city,n,cate
RioDeJaneiroBrazil,1601,0.03046
SicilySiciliaItaly,2692,0.01986
MexicoCityDistritoFederalMexico,2069,0.01679
ViennaAustria,1591,0.01387
MilanLombardyItaly,2258,0.01369
WesternAustraliaAustralia,2103,0.0134
MadridComunidaddeMadridSpain,2351,0.01323
BrowardCountyFloridaUnitedStates,2268,0.0131
SydneyNewSouthWalesAustralia,2192,0.01263
LondonEnglandUnitedKingdom,7330,0.01243
PortoNortePortugal,2559,0.01226
ParisÎle-de-FranceFrance,6248,0.01143
CapeTownWesternCapeSouthAfrica,2306,0.01138
TokyoKantōJapan,1936,0.01135
EdinburghScotlandUnitedKingdom,2787,0.01124
Ireland,5541,0.01118
NewOrleansLouisianaUnitedStates,2693,0.0108
BangkokCentralThailandThailand,1630,0.0108
AustinTexasUnitedStates,2530,0.01073
SevillaAndalucíaSpain,1555,0.01071
ChicagoIllinoisUnitedStates,2074,0.01057
WashingtonD.C.DistrictOfColumbiaUnitedStates,2082,0.01056
NewYorkCityNewYorkUnitedStates,4777,0.01048
LosAngelesCaliforniaUnitedStates,7376,0.01048
SanFranciscoCaliforniaUnitedStates,2019,0.01036
SanDiegoCaliforniaUnitedStates,4216,0.01022
DenverColoradoUnitedStates,1591,0.01
NewZealand,7378,0.00994
BarwonSouthWestVicVictoriaAustralia,1509,0.00989
PortlandOregonUnitedStates,2344,0.00979
PraguePragueCzechRepublic,2503,0.00973
LisbonLisbonPortugal,5388,0.00966
BarcelonaCataloniaSpain,3045,0.0095
TasmaniaAustralia,1923,0.00937
FlorenceToscanaItaly,3326,0.00927
NashvilleTennesseeUnitedStates,3898,0.00915
BerlinBerlinGermany,1683,0.00911
BudapestKözép-MagyarországHungary,3283,0.00905
TorontoOntarioCanada,2522,0.00903
MelbourneVictoriaAustralia,3114,0.00898
AthensAtticaGreece,2355,0.0089
ClarkCountyNVNevadaUnitedStates,2355,0.00882
CreteCreteGreece,1561,0.00878
AshevilleNorthCarolinaUnitedStates,2037,0.00868
VeniceVenetoItaly,2816,0.00859
SeattleWashingtonUnitesStates,2692,0.00855
AmsterdamNorthHollandTheNetherlands,2115,0.00849
HawaiiHawaiiUnitedStates,6783,0.00812
RomeLazioItaly,7084,0.00811
SouthAegeanGreece,2636,0.00788
