outcome,construct,theta,se,z,p,ci_lo,ci_hi,pct_of_base_rate,seconds
y_revisit,ATT,0.00257,0.00048,5.353,0.0,0.001629,0.003511,32.181,8.5
y_revisit,SN,-0.002162,0.000572,-3.777,0.00016,-0.003284,-0.00104,-27.076,9.2
y_revisit,PBC,-0.001061,0.000489,-2.167,0.03021,-0.00202,-0.000101,-13.283,10.4
y_revisit,SAT,0.001982,0.000721,2.747,0.00601,0.000568,0.003395,24.816,10.3
y_revisit,BI,0.00838,0.000823,10.182,0.0,0.006767,0.009993,104.95,11.5
y_continue,ATT,0.01719,0.002073,8.292,0.0,0.013127,0.021254,8.647,12.2
y_continue,SN,-0.003436,0.002452,-1.401,0.16107,-0.008241,0.001369,-1.728,12.7
y_continue,PBC,0.014311,0.002158,6.632,0.0,0.010081,0.01854,7.198,12.3
y_continue,SAT,0.005785,0.003076,1.881,0.06001,-0.000244,0.011814,2.91,11.4
y_continue,BI,0.026247,0.002993,8.77,0.0,0.020381,0.032113,13.202,11.9
