variable,eq1_BI,eq2_behaviour
Revisit intention (BI),,0.0482*** (0.0029)
Attitude,0.0453*** (0.0033),0.0575*** (0.0041)
Subjective norm,-0.0684*** (0.0029),-0.0096* (0.0039)
Perceived behavioural control,-0.0079*** (0.0018),0.0291*** (0.0038)
Satisfaction,0.0178*** (0.0014),0.0083** (0.0032)
Sentiment (VADER),0.1234*** (0.0039),0.0343*** (0.0041)
During COVID-19,0.0060 (0.0053),0.1770*** (0.0167)
Review length (log),0.1162*** (0.0031),-0.0106* (0.0048)
Listing prior reviews (log),0.0261*** (0.0035),0.0418*** (0.0105)
Listing age (log),-0.0253*** (0.0035),0.0047 (0.0092)
Constant,-0.0266 (0.0885),-2.4733*** (0.3934)
