model,config,val_auc,test_auc,val_pr_auc,test_pr_auc,test_brier,test_f1,seconds
M1 logistic regression,,0.5588,0.5471,0.25825,0.28179,0.194094,0.2439,0.1
M3 HistGradientBoosting,"lr=0.05, leaves=31",0.5542,0.5428,0.25906,0.27925,0.19512,0.2359,2.9
B3 controls-only,8 features,0.5504,0.5443,0.25199,0.27886,0.19415,0.239,0.2
B3 controls-only,8 features,0.5504,0.5443,0.25199,0.27886,0.19415,0.239,0.1
M4 LightGBM,"leaves=31, lr=0.05",0.5608,0.545,0.26133,0.27794,0.195196,0.2588,0.9
M3 HistGradientBoosting,"lr=0.1, leaves=63",0.5539,0.5418,0.25763,0.27766,0.195259,0.2358,1.6
M4 LightGBM,"leaves=63, lr=0.05",0.5593,0.5438,0.25922,0.27705,0.195203,0.2425,1.0
M4 LightGBM,"leaves=127, lr=0.05",0.559,0.5412,0.2568,0.2745,0.195207,0.2399,1.3
M5 neural network,100 hidden neurons,0.5405,0.5373,0.24798,0.27363,0.194886,0.2369,2.5
M5 neural network,70 hidden neurons,0.5505,0.5364,0.25272,0.27236,0.193864,0.2294,2.3
M5 neural network,50 hidden neurons,0.5433,0.5331,0.2466,0.26972,0.196498,0.2446,1.9
M5 neural network,5 hidden neurons,0.5249,0.5299,0.23176,0.26802,0.195733,0.239,1.0
M5 neural network,10 hidden neurons,0.5169,0.5283,0.22602,0.26548,0.199538,0.2721,1.0
M5 neural network,30 hidden neurons,0.542,0.5244,0.2451,0.26331,0.195354,0.2062,1.4
M5 neural network,20 hidden neurons,0.5264,0.5199,0.23465,0.2601,0.195698,0.2096,1.1
M2 linear SVM,SGD hinge/huber,0.5074,0.521,0.22076,0.2593,0.200754,0.2181,1.6
B2 TPB-only,5 features,0.5317,0.5212,0.23417,0.25786,0.195335,0.247,0.1
B2 TPB-only,5 features,0.5317,0.5212,0.23417,0.25786,0.195335,0.247,0.1
M2 linear SVM,SGD hinge/huber,0.5014,0.5186,0.21653,0.25666,0.203359,0.2159,1.0
B1 sentiment-only,3 features,0.5218,0.5129,0.22656,0.25186,0.19557,0.2122,0.1
B1 sentiment-only,3 features,0.5218,0.5129,0.22656,0.25186,0.19557,0.2122,0.1
B0 majority class,,0.5,0.5,0.21633,0.2454,0.195355,0.3941,0.0
