model,config,val_auc,test_auc,val_pr_auc,test_pr_auc,test_brier,test_f1,seconds
M1 logistic regression,,0.6382,0.6742,0.01503,0.01594,0.007796,0.037,0.2
M4 LightGBM,"leaves=31, lr=0.05",0.6405,0.6635,0.0145,0.01417,0.007804,0.0351,1.2
M3 HistGradientBoosting,"lr=0.05, leaves=31",0.6345,0.6613,0.01429,0.0138,0.007798,0.0309,1.8
M4 LightGBM,"leaves=63, lr=0.05",0.6357,0.6654,0.01422,0.01348,0.007803,0.0282,1.8
M4 LightGBM,"leaves=127, lr=0.05",0.6331,0.6569,0.01455,0.01317,0.007805,0.0298,1.7
B3 controls-only,8 features,0.602,0.6383,0.01294,0.01307,0.007808,0.0316,0.1
B3 controls-only,8 features,0.602,0.6383,0.01294,0.01307,0.007808,0.0316,0.2
M3 HistGradientBoosting,"lr=0.1, leaves=63",0.6279,0.6603,0.01322,0.0129,0.007958,0.0287,1.2
B2 TPB-only,5 features,0.6092,0.6203,0.01362,0.01288,0.007796,0.03,0.4
B2 TPB-only,5 features,0.6092,0.6203,0.01362,0.01288,0.007796,0.03,0.1
M5 neural network,100 hidden neurons,0.5528,0.5598,0.01046,0.00968,0.007902,0.0192,3.1
M5 neural network,50 hidden neurons,0.5471,0.5422,0.01053,0.00912,0.008029,0.0193,1.9
B1 sentiment-only,3 features,0.5324,0.5478,0.00985,0.00893,0.007807,0.016,0.1
M2 linear SVM,SGD hinge/huber,0.5337,0.5318,0.01022,0.00893,0.008797,0.0204,0.6
B1 sentiment-only,3 features,0.5324,0.5478,0.00985,0.00893,0.007807,0.016,0.1
M2 linear SVM,SGD hinge/huber,0.5305,0.53,0.01013,0.00884,0.00875,0.0205,1.2
M5 neural network,10 hidden neurons,0.4905,0.5269,0.00869,0.00848,0.011776,0.017,1.1
M5 neural network,5 hidden neurons,0.5105,0.5159,0.00925,0.00848,0.00886,0.0174,1.1
M5 neural network,70 hidden neurons,0.5162,0.5206,0.00984,0.00835,0.00825,0.0153,2.6
B0 majority class,,0.5,0.5,0.00911,0.00787,0.007809,0.0156,0.0
M5 neural network,30 hidden neurons,0.5293,0.5083,0.00971,0.00786,0.018688,0.0149,1.6
M5 neural network,20 hidden neurons,0.4871,0.4619,0.00856,0.00691,0.018595,0.0122,1.3
