variable,eq1_BI_revisit,eq2_revisit,eq1_BI_continue,eq2_continue
Revisit intention (BI),,0.2376*** (0.0222),,0.0474*** (0.0062)
Attitude,0.0464*** (0.0044),0.2023*** (0.0386),0.0467*** (0.0044),0.0663*** (0.0082)
Subjective norm,-0.0692*** (0.0036),-0.0862** (0.0291),-0.0691*** (0.0036),-0.0101 (0.0064)
Perceived behavioural control,-0.0064* (0.0031),-0.0631 (0.0346),-0.0063* (0.0031),0.0235** (0.0075)
Satisfaction,0.0177*** (0.0027),0.0636* (0.0286),0.0177*** (0.0027),0.0050 (0.0066)
Sentiment (VADER),0.1231*** (0.0043),0.0772 (0.0427),0.1232*** (0.0043),0.0274** (0.0090)
During COVID-19,0.0046 (0.0116),0.2732* (0.1341),0.0046 (0.0116),0.1955*** (0.0301)
Review length (log),0.1214*** (0.0038),0.0270 (0.0356),0.1215*** (0.0038),0.0047 (0.0071)
Listing prior reviews (log),0.0288*** (0.0051),-0.0699 (0.0470),0.0284*** (0.0050),0.0215 (0.0144)
Listing age (log),-0.0299*** (0.0047),0.0900* (0.0439),-0.0291*** (0.0047),0.0057 (0.0127)
Constant,-0.0964 (0.2537),-4.7121*** (0.7086),0.0299 (0.2541),-1.6145** (0.5077)
