variable,eq1_BI_revisit,eq2_revisit,eq1_BI_continue,eq2_continue
Revisit intention (BI),,0.2386*** (0.0125),,0.0474*** (0.0030)
Attitude,0.0464*** (0.0032),0.1779*** (0.0193),0.0464*** (0.0032),0.0576*** (0.0044)
Subjective norm,-0.0676*** (0.0031),-0.0891*** (0.0149),-0.0676*** (0.0031),-0.0097* (0.0040)
Perceived behavioural control,-0.0082*** (0.0019),-0.0539*** (0.0163),-0.0082*** (0.0019),0.0295*** (0.0039)
Satisfaction,0.0188*** (0.0014),0.0513*** (0.0123),0.0188*** (0.0014),0.0089** (0.0033)
Sentiment (VADER),0.1251*** (0.0039),0.0673* (0.0292),0.1251*** (0.0039),0.0324*** (0.0042)
During COVID-19,0.0060 (0.0065),0.0110 (0.0667),0.0060 (0.0065),0.0483*** (0.0140)
Review length (log),0.1163*** (0.0032),0.0297 (0.0184),0.1163*** (0.0032),-0.0121* (0.0048)
Listing prior reviews (log),0.0261*** (0.0035),-0.0971*** (0.0283),0.0261*** (0.0035),0.0404*** (0.0108)
Listing age (log),-0.0248*** (0.0035),0.1005*** (0.0300),-0.0248*** (0.0035),0.0046 (0.0094)
Constant,-0.0255 (0.0886),-4.1125*** (0.6498),-0.0255 (0.0886),-2.4841*** (0.3960)
