variable,eq1_BI_revisit,eq2_revisit,eq1_BI_continue,eq2_continue
Revisit intention (BI),,0.2453*** (0.0140),,0.0417*** (0.0036)
Attitude,0.0431*** (0.0043),0.1721*** (0.0245),0.0431*** (0.0043),0.0532*** (0.0049)
Subjective norm,-0.0696*** (0.0044),-0.0675*** (0.0199),-0.0696*** (0.0044),-0.0050 (0.0053)
Perceived behavioural control,-0.0086*** (0.0023),-0.0819*** (0.0203),-0.0086*** (0.0023),0.0257*** (0.0053)
Satisfaction,0.0180*** (0.0019),0.0457*** (0.0133),0.0180*** (0.0019),0.0070 (0.0044)
Sentiment (VADER),0.1175*** (0.0052),0.1061* (0.0429),0.1175*** (0.0052),0.0368*** (0.0045)
During COVID-19,0.0093 (0.0082),0.1486 (0.0843),0.0093 (0.0082),0.1845*** (0.0253)
Review length (log),0.1180*** (0.0040),-0.0061 (0.0218),0.1180*** (0.0040),-0.0109 (0.0067)
Listing prior reviews (log),0.0255*** (0.0056),-0.0687* (0.0314),0.0255*** (0.0056),0.0186 (0.0146)
Listing age (log),-0.0237*** (0.0055),0.0877* (0.0364),-0.0237*** (0.0055),0.0218 (0.0121)
Constant,-0.0533 (0.1285),-4.0594*** (1.0027),-0.0533 (0.1285),-2.5281*** (0.5590)
